"TeamName","assocID","date","assigned","Group","OtherGroupName","Head Count"
"NF_Part_GP",1,2019-11-01,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",4,2019-11-01,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",11,2019-11-04,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",13,2019-11-04,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",15,2019-11-04,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",2,2019-11-05,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",12,2019-11-05,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",17,2019-11-05,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",6,2019-11-06,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",7,2019-11-06,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",3,2019-11-07,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",9,2019-11-08,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",10,2019-11-08,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",13,2019-11-11,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",15,2019-11-11,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",16,2019-11-11,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",1,2019-11-12,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",2,2019-11-12,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",14,2019-11-12,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",5,2019-11-13,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",8,2019-11-13,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",3,2019-11-14,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",7,2019-11-15,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",9,2019-11-15,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",10,2019-11-18,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",11,2019-11-18,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",12,2019-11-18,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",6,2019-11-19,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",14,2019-11-19,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",16,2019-11-19,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",4,2019-11-20,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",17,2019-11-20,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",5,2019-11-21,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",2,2019-11-22,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",15,2019-11-22,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",1,2019-11-25,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",8,2019-11-25,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",10,2019-11-25,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",11,2019-11-26,1,"Non Financial Partials GP","Partials Non Financial GP",17
