"assocID","date","WOY","Month","ReqPer","assigned","Team","ProgramName"
6,2019-07-05,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-07-08,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-07-08,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-07-09,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-07-09,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-07-10,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-07-10,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-07-11,28,"7_July",1,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-07-12,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-07-12,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-07-15,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-07-15,28,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-07-16,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-07-16,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-07-17,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-07-17,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-07-18,29,"7_July",1,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-07-19,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-07-19,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-07-22,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-07-22,29,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-07-23,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-07-23,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-07-24,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-07-24,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-07-25,30,"7_July",1,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-07-26,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-07-26,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-07-29,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-07-29,30,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-07-30,31,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-07-30,31,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-07-31,31,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-07-31,31,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-08-01,31,"8_August",1,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-08-02,31,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-08-02,31,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-08-05,31,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-08-05,31,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-08-06,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-08-06,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-08-07,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-08-07,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-08-08,32,"8_August",1,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-08-09,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-08-09,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-08-12,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-08-12,32,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-08-13,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-08-13,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-08-14,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-08-14,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-08-15,33,"8_August",1,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-08-16,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-08-16,33,"8_August",2,1,"Non Financial Partials GP","NF_Part_GP"
